,beer,score,style,abv,rating,cleaned_review
69,Heady Topper,100,IPA - New England,8%,4.64,"A; I was a bad boy and poured a touch into a glass to see what I was drinking. Pours a beautiful golden hazy orange/yellow, small amount of white head dissipating quickly. S; This smells incredible. Tropical fruits, grapefruit, dank/grassy notes. T; Massive onslaught of dank, earthy, weedy notes, with bright citrus and tropical fruits mixing in. M; Unbelievably smooth, medium body, excellent carb, great! O; So glad I got a chance to try this after all these years, shout out to @tasterschoice62 for giving me the chance. Lives up to the hype for sure. Just had the perfect balance of hop onslaught, mouthfeel, bitterness."
70,Triple Sunshine,100,IPA - Imperial,10.5%,4.24,canned 02/19/19 L- The beer pours a hazy golden with about a 1 cm white head. The head recedes fairly quickly into a thin film leaving spotty lacing.
71,Cutting Tiles - Galaxy,99,IPA - New England,8.5%,4.46,"Pouring from a 16 oz. can into a Trillium Willi Becher style glass, this beer pours out like a cross between mango and orange juice. Forms a thin crown that dissipates to only an outer ring, attached to the glass.  The nose brings a beautiful citrus mixing with a very natural, sweet honey. Wow. The way the two mix are amazing. Mango, orange, peach, honey and caramel all backed by a dank background.  The taste comes in with those dank, pronounced layers of citrus tangling through sweet layers of honey and caramel; slight bubblegum wants to come out but never does with much pronunciation, just as an accent. There are some floral notes, but not too pronounced.  Fairly clean with little to no sharpness; slight bitterness but overall smooth and creamy on the mouthfeel.  Overall, I love the way the honey and layers of sweetness interact with the pungent, citrus, earthy hops. It’s a smooth, enjoyable brew."
72,Parabajava,100,Stout - Russian Imperial,14%,4.47,Type: 12-oz. bottle
73,Grey Monday,100,Stout - American Imperial,19.9%,4.21,"Pouring from a 2016 750 ml. bottle into a snifter. This beer pours out very light in color for the style, just like the rest of the series. Doesn't form a crown, only an outer ring of bubbles attaching themselves to the glass. The smell is big boozy raisins and plums with slight chocolate as well. This whole series has had huge dark fruit notes. It just smells like you're going to get drunk. The taste comes in hot with booze and the dark fruit remains. This is the version aged on hazelnuts, but honestly how would you ever know with a beer this boozy? I do think I like this one better than the rest, but they just still don't hold up to the caliber I thought they would bring."
74,Abricot Du Fermier,100,Farmhouse Ale - Saison,8%,4.5,"Combined notes for Batch 1 and Batch 2. Really nice apricot notes and a bit creamy. Batch 2 was a bit too acidic for my taste, though I'm fairly sensitive to that. As with Fou Foune, would prefer to drink this one as fresh as possible to avoid too much acid buildup."
75,Black Tuesday - Reserve,100,Stout - American Imperial,20.5%,5.0,"Pours black. Smells of Charred oak, vanilla, and a caramel. Tastes amazingly of the bourbon barrels and caramel. very viscous. This is a Barrel aged stout at its finest."
76,Grey Monday,100,Stout - American Imperial,19.9%,4.51,"2015 bottle poured into a snifter A: Pours nearly black with a frothy cocoa brown head that settles to a thin layer and leaves a little spotty lacing. S: Liquid candy bar, milk chocolate, hazelnut, bourbon, a bit of spice, brown sugar, vanilla, faint oak, and a nip of alcohol on the back end. T: Roasty, big milk chocolate, smooth bourbon, nice hit of hazelnut, brown sugar and toffee, vanilla, a little spice, a bit of oak, and a touch of alcohol poking through, though not unpleasant.  M: Full body, mild carbonation, a little warmth, yet creamy smooth. O: The Bruery doing what they do. Massive brew, but well balanced. Not complaining about this being a 1 and done. It's aged beautifully."
77,BDCS,99,Stout - American Imperial,10.2%,4.42,L: Dark mahogany with a reddish tint. Slight reddish amber head
78,Pirate Paradise,100,Stout - American Imperial,13%,4.7,"2018 release.  A: Viscous black with a thin ring of fine, dark brown head. Decent retention and no lacing.  S: Toasted coconut, vanilla ice cream, with moderate spiced rum, cinnamon, and a bit of dark chocolate and roast. T: Spiced rum in the forefront with light toasted coconut (lighter than on the nose), vanilla bean, a bit of cola and roast, with moderate bakers spices on the backend. Medium sweetness pulls things together. M: Thick medium-full body, sticky, with medium cola-like carbonation.  O: Delicious! The barrel is nicely integrated and the coconut and rum are both super tasty."
79,Pirate Paradise,100,Stout - American Imperial,13%,4.29,"Pours black, little bit of light brown foam. Smell of high quality rum, tobacco, coconut. Thick, smooth, and fairly sharp boozy. Taste is rum forward, the good way. Sweet, herbal, coconut and plenty of licorice. Not as paradisial as I was expecting."
80,Society & Solitude #4,100,IPA - New England,8%,4.67,12 oz can from egrandfield
81,Grey Monday,100,Stout - American Imperial,19.9%,4.45,"Pours a very dark brown, or more so, it's black with brown shining through the edges. Its a blood-burgundy color with a clear transparency when direct sunlight pierces it. Head is a finger of khaki-caramel foam after a slow pour, but it fizzles out quickly. Aroma is raisins, toffee, molasses, caramel, chocolate and roasty, toasty, earthy, nutty and caramely malts. Heat is seeping through pretty heavy with a whollop of bourbon booze at the back. Flavor profile is raisins, figs, toffee, molasses, caramel, chocolate, molasses and syrup with hearty roasty, toasty, nutty, caramely and bready malts. It's thick, thick and thick. Drinking a boozy cookie. Bourbon adds heat that seems in and lingers long after the malts wash away. A touch of char adds a little grounding bitterness for the sugary initiation. Mouth feel is thick, sticky, velvety and chewy. Overall, thick and boozy with a lot of complexities. It's super rich and full, which is what you'd imagine out of an 20% ABV beer.  Served in a glencairn glass from a 750mL bottle. 2017 vintage, served & reviewed in May of 2020."
82,The Rusty Nail,100,Stout - Oatmeal,13.3%,5.0,"This is the number 2 ranked Oatmeal Stout on this site, behind one of my favorite beers of all time, Founders Breakfast Stout, and that ranking is more than well deserved.  What works the most for me is aging it on cinnamon. Oatmeal stouts shouldn’t have spice or heat, I thought, until I had this beer. The cinnamon is premonitory on the scent in a strong way, as it is the strongest characteristic on the nose. And then I taste it and I’d swear it’s a cinnamon beer. That’s not a bad thing, because wow! I don’t think I’ve ever had a beer that is this spice forward without overpowering everything else. Plenty of roasty malt and a strong bourbon presence, but that spiciness makes this a unique experience.  Medium to big bodied feel, which is surprising, cause I expected this to be a big ass beer. It’s not, nor is it thick or sticky or oily. It’s a kind of “medium in all ways” type of feel, if that makes sense, except it as boozy as hell, which is another turn on for it. Honestly, this may be one of the best beers I’ve had in a while, and I wish I could order more from Tavour. When you encounter a just about perfect beer, you know it. I’m not one of those guys who doesn’t give perfect scores, and maybe this isn’t perfect. Maybe if I examine it more, I’d lower it. But with the impression I’ve gotten over the last two hours letting it develop, I’m going with 5’s across the board right now. I’m glad I got into Tavour just because of Fremont access."
83,Abner,100,IPA - New England,8.2%,4.73,Tasted from can. Pours a hazy gold. Huge citrus and fruity aroma. Taste is a tons of citrus but not a juice bomb. You get some bitterness but not overly bitter. Just a perfect balanced hazy ipa.
84,Maple Bacon Coffee Porter,99,Porter - American,6.4%,4.6,"This is everything it says on the bottle - it’s definitely a porter (and a gorgeous one at that), with a body that verges in black with mahogany on the edges and a dense light tan head. And the maple literally grabs you by the throat when you pop the top on the bottle - and then the coffee jumps in, and there’s an earthy salty note as well. The maple and coffee are the leads on the taste, but the star is the salty flavor that comes with some chocolate and char notes. The mouthfeel approaches creamy, which is to style with this non-imperial porter. This may be the best beer I’ve had in 2020, and possibly back to 2019. It’s breakfast in a beer, and is truly a pleasure to drink."
85,"Somewhere, Something Incredible Is Waiting To Be Known",99,Stout - Sweet / Milk,7.9%,4.74,"Acquired in a trade. Poured into TH snifter with maximum foam head. 4 finger plus. Look: Deep black, well blended. Perfect foam building head that lingered for days."
